MET_DATETIME,ID_NUM,ID_NAME,MET_DATE,MET_TIME,LAT,LON,WDIR,WSPD,T_DB,DP,QNH
1/01/2020 0:00,94866,YMML,31/12/2019 0:00,1400,-37.67,144.83,140,2,13.2,8.4,1015.1
1/01/2020 0:30,94866,YMML,31/12/2019 0:00,1430,-37.67,144.83,0,0,13,8,1015.1
1/01/2020 1:00,94866,YMML,31/12/2019 0:00,1500,-37.67,144.83,0,0,11,7.7,1014.8
1/01/2020 1:30,94866,YMML,31/12/2019 0:00,1530,-37.67,144.83,280,5,11.1,7.4,1014.6
1/01/2020 2:00,94866,YMML,31/12/2019 0:00,1600,-37.67,144.83,290,4,10.9,7.8,1014.6
1/01/2020 2:30,94866,YMML,31/12/2019 0:00,1630,-37.67,144.83,290,7,10.6,8.1,1014.5
1/01/2020 3:00,94866,YMML,31/12/2019 0:00,1700,-37.67,144.83,360,4,9.7,7.4,1014.3
1/01/2020 3:30,94866,YMML,31/12/2019 0:00,1730,-37.67,144.83,340,3,10.3,7.6,1014.6
1/01/2020 4:00,94866,YMML,31/12/2019 0:00,1800,-37.67,144.83,290,6,10.2,7.9,1014.7
1/01/2020 4:30,94866,YMML,31/12/2019 0:00,1830,-37.67,144.83,340,4,11.1,7.8,1015
1/01/2020 5:00,94866,YMML,31/12/2019 0:00,1900,-37.67,144.83,340,4,9.7,7.6,1015.4
1/01/2020 5:30,94866,YMML,31/12/2019 0:00,1930,-37.67,144.83,310,5,10.8,8.1,1015.4
1/01/2020 6:00,94866,YMML,31/12/2019 0:00,2000,-37.67,144.83,280,4,11.8,8.8,1015.7
1/01/2020 6:30,94866,YMML,31/12/2019 0:00,2030,-37.67,144.83,250,4,12.7,8.9,1016.1
1/01/2020 7:00,94866,YMML,31/12/2019 0:00,2100,-37.67,144.83,210,6,14.7,8.8,1016.6
1/01/2020 7:30,94866,YMML,31/12/2019 0:00,2130,-37.67,144.83,190,6,15.3,9.3,1016.7
1/01/2020 8:00,94866,YMML,31/12/2019 0:00,2200,-37.67,144.83,170,6,16.7,9.9,1017
1/01/2020 8:30,94866,YMML,31/12/2019 0:00,2230,-37.67,144.83,180,6,17.1,9.2,1017
1/01/2020 9:00,94866,YMML,31/12/2019 0:00,2300,-37.67,144.83,200,9,18.9,7.8,1017
1/01/2020 9:30,94866,YMML,31/12/2019 0:00,2330,-37.67,144.83,170,8,19.4,7.5,1017
1/01/2020 10:00,94866,YMML,1/01/2020 0:00,0,-37.67,144.83,160,7,20.5,6.2,1016.9
1/01/2020 10:30,94866,YMML,1/01/2020 0:00,30,-37.67,144.83,200,9,20.9,4.5,1016.9
1/01/2020 11:00,94866,YMML,1/01/2020 0:00,100,-37.67,144.83,190,13,21.6,3.9,1016.8
1/01/2020 11:30,94866,YMML,1/01/2020 0:00,130,-37.67,144.83,200,6,22,4.8,1016.5
1/01/2020 12:00,94866,YMML,1/01/2020 0:00,200,-37.67,144.83,150,11,22.3,6.2,1016.3
1/01/2020 12:30,94866,YMML,1/01/2020 0:00,230,-37.67,144.83,150,11,22.3,6.2,1016.3
1/01/2020 13:00,94866,YMML,1/01/2020 0:00,300,-37.67,144.83,110,7,22.7,6,1016
1/01/2020 13:30,94866,YMML,1/01/2020 0:00,330,-37.67,144.83,80,6,24,5.8,1015.7
1/01/2020 14:00,94866,YMML,1/01/2020 0:00,400,-37.67,144.83,150,5,24.9,5.2,1015.6
1/01/2020 14:30,94866,YMML,1/01/2020 0:00,430,-37.67,144.83,100,7,24.9,5.2,1015.4
1/01/2020 15:00,94866,YMML,1/01/2020 0:00,500,-37.67,144.83,120,6,25,4.5,1015.2
1/01/2020 15:30,94866,YMML,1/01/2020 0:00,530,-37.67,144.83,150,11,25.5,5.1,1015
1/01/2020 16:00,94866,YMML,1/01/2020 0:00,600,-37.67,144.83,160,15,25.1,6.2,1015.1
1/01/2020 16:30,94866,YMML,1/01/2020 0:00,630,-37.67,144.83,180,15,24.4,6.2,1015.2
1/01/2020 17:00,94866,YMML,1/01/2020 0:00,700,-37.67,144.83,160,12,24.5,6.3,1015.4
1/01/2020 17:30,94866,YMML,1/01/2020 0:00,730,-37.67,144.83,160,15,23.7,6.7,1015.8
1/01/2020 18:00,94866,YMML,1/01/2020 0:00,800,-37.67,144.83,170,15,22.6,8,1016.4
1/01/2020 18:30,94866,YMML,1/01/2020 0:00,830,-37.67,144.83,170,16,21.3,9.6,1017.1
1/01/2020 19:00,94866,YMML,1/01/2020 0:00,900,-37.67,144.83,170,16,19.8,9.7,1017.8
1/01/2020 19:30,94866,YMML,1/01/2020 0:00,930,-37.67,144.83,170,14,18.8,10,1018.4
1/01/2020 20:00,94866,YMML,1/01/2020 0:00,1000,-37.67,144.83,170,13,18.1,10.3,1018.7
1/01/2020 20:30,94866,YMML,1/01/2020 0:00,1030,-37.67,144.83,170,13,17.9,9.8,1019.4
1/01/2020 21:00,94866,YMML,1/01/2020 0:00,1100,-37.67,144.83,170,10,17.6,9.2,1019.8
1/01/2020 21:30,94866,YMML,1/01/2020 0:00,1130,-37.67,144.83,170,9,17.4,8.9,1019.7
1/01/2020 22:00,94866,YMML,1/01/2020 0:00,1200,-37.67,144.83,170,8,17,8.4,1019.7
1/01/2020 22:30,94866,YMML,1/01/2020 0:00,1230,-37.67,144.83,150,10,16.9,8.5,1019.9
1/01/2020 23:00,94866,YMML,1/01/2020 0:00,1300,-37.67,144.83,120,7,16.8,8.6,1020
1/01/2020 23:30,94866,YMML,1/01/2020 0:00,1330,-37.67,144.83,140,7,16.2,8.3,1020.1
2/01/2020 0:00,94866,YMML,1/01/2020 0:00,1400,-37.67,144.83,170,6,15.2,8.5,1019.8
2/01/2020 0:30,94866,YMML,1/01/2020 0:00,1430,-37.67,144.83,130,7,15.8,9.2,1019.5
2/01/2020 1:00,94866,YMML,1/01/2020 0:00,1500,-37.67,144.83,130,5,15.1,9.5,1019.3
2/01/2020 1:30,94866,YMML,1/01/2020 0:00,1530,-37.67,144.83,80,4,14.3,9.4,1018.9
2/01/2020 2:00,94866,YMML,1/01/2020 0:00,1600,-37.67,144.83,50,4,13.4,8.9,1018.5
2/01/2020 2:30,94866,YMML,1/01/2020 0:00,1630,-37.67,144.83,50,3,12.2,8.6,1018.4
2/01/2020 3:00,94866,YMML,1/01/2020 0:00,1700,-37.67,144.83,30,3,11.7,8.7,1018.5
2/01/2020 3:30,94866,YMML,1/01/2020 0:00,1730,-37.67,144.83,360,1,10.9,8.5,1018.5
2/01/2020 4:00,94866,YMML,1/01/2020 0:00,1800,-37.67,144.83,360,6,10.5,8,1018.4
2/01/2020 4:30,94866,YMML,1/01/2020 0:00,1830,-37.67,144.83,360,4,10.3,8,1018.8
2/01/2020 5:00,94866,YMML,1/01/2020 0:00,1900,-37.67,144.83,340,2,10.2,7.7,1019
2/01/2020 5:30,94866,YMML,1/01/2020 0:00,1930,-37.67,144.83,360,7,11.2,8.6,1019.1
2/01/2020 6:00,94866,YMML,1/01/2020 0:00,2000,-37.67,144.83,360,4,12.6,9,1019.5
2/01/2020 6:30,94866,YMML,1/01/2020 0:00,2030,-37.67,144.83,360,2,15,9.8,1019.8
2/01/2020 7:00,94866,YMML,1/01/2020 0:00,2100,-37.67,144.83,240,4,16.3,9.8,1020
2/01/2020 7:30,94866,YMML,1/01/2020 0:00,2130,-37.67,144.83,180,6,17.8,9.7,1020.4
2/01/2020 8:00,94866,YMML,1/01/2020 0:00,2200,-37.67,144.83,170,6,18.3,8.4,1020.6
2/01/2020 8:30,94866,YMML,1/01/2020 0:00,2230,-37.67,144.83,120,6,19.7,6.3,1020.3
2/01/2020 9:00,94866,YMML,1/01/2020 0:00,2300,-37.67,144.83,140,7,20.4,8.1,1020.1
2/01/2020 9:30,94866,YMML,1/01/2020 0:00,2330,-37.67,144.83,100,6,20.8,8.4,1020
2/01/2020 10:00,94866,YMML,2/01/2020 0:00,0,-37.67,144.83,180,7,21.9,8.7,1019.8
2/01/2020 10:30,94866,YMML,2/01/2020 0:00,30,-37.67,144.83,220,6,22.5,8.8,1019.6
2/01/2020 11:00,94866,YMML,2/01/2020 0:00,100,-37.67,144.83,180,7,23.2,9.4,1019.4
